year,gender,majorityStatus,citizenship,isForcedLabour,isSexualExploit,isOtherExploit,isSexAndLabour,isForcedMarriage,isForcedMilitary,isOrganRemoval,typeOfExploitConcatenated,CountryOfExploitation
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,MK
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,MK
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,MK
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,MK
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,MK
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,MK
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,MK
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,MK
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,MK
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,MK
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,MK
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,MK
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,MK
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,MK
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,MK
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,MK
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,MK
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,MK
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,MK
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,MK
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,Y1
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,Y1
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,Y1
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,Y1
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,Y1
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,Y1
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,Y1
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,Y1
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,Y1
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,Y1
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,Y1
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,Y1
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,Y1
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,Y1
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,Y1
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,Y1
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,Y1
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,Y1
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,Y1
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,Y1
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,Y1
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,Y1
2002,Female,Adult,RO,0,1,0,0,0,0,0,Sexual exploitation,Y1
